_id,permalink,name,tag_type,systems_enabled,image_eeus_filename,Image,description
4f4d26a35b76e152aa000017,jeanne-holland-vintaj,"Jeanne Holland, Vintaj",artist,"szus,szuk,erus",,/grid/visual_asset/image/4fa1a438fb60b51fb30028db/jeanne.jpg,"<p>Jeanne's design career started early on when her grandmother gave her a box of antique glass beads and broken necklaces. Captivated immediately, she continued to design through high school, occasionally selling her creations. Her love of form and function and pursuit of a career that allowed for family lead her to Brigham Young University. There she expressed herself in everything from classical ballet to stained glass mosaic. Jeanne went on to own an art and jewelry shop in Galena, Illinois, and, along with her sister Wendy, formed the Vintaj Design Studios and eventually, the Vintaj Natural Bass Co.</<p>"
4f3037df02f39970ba000367,jess-italia-lincoln-vintaj,"Jess Italia-Lincoln, Vintaj",artist,"szus,szuk,erus",,/grid/visual_asset/image/4fa1a48bfb60b5076500081c/jess.jpg,"<p>Her design influence is far reaching. As the educator for Vintaj, Jess teaches and shares many tips and techniques in online videos and Vintaj Jewelry Technique Books. Inspired by nature and all its treasures, Jess started her creative career odyssey by graduating with a bachelor's degree in advertising design at the International Academy of Merchandising &amp; Design in Chicago. In the fast-paced city, she always made time for designing handmade clothing, purses and quilts. However, vintage fabrics gave way to beads which lead her to discover her true passion - jewelry design. Jess relocated to the beauty and history of Galena, Illinois, which continues to inspire her designs, while keeping her strongly connected with family.</<p>"
554bc61eff9afc6c4d004f09,jill-mackay,Jill MacKay,artist,"szus,szuk,erus",,/grid/visual_asset/image/554bc61eff9afc6c4d004f0a/jill_mackay.jpg,"<p>Inspired by the patterns and forms of nature, <a target=""_blank"" href=""http://www.jillmackay.com/"">Jill MacKay</a> is an accomplished jewelry designer, sculptor, teacher, author and consultant. Her enthusiasm and 25 years of creative experience make her one of the most skilled, diversified and sought-after artists today. The Jill MacKay brand continues to evolve and charm, selling in over 2000 stores internationally, on television and online. Among her accomplishments, Jill has designed for the soap opera, <em>Guiding Light</em>, and <em>Star Trek: The Next Generation</em>. As a writer, she regularly contributes designs and educational content to prominent book and magazine publishers. Jill has been nationally recognized for helping those less fortunate and solving social issues through the arts. Jill lives and works from her studios in Bellvue, Colorado.</p>"
542c7ce002f3997a49000c40,jo-packham,Jo Packham,artist,"szus,szuk,erus",,/grid/visual_asset/image/542c7ce002f3997a49000c41/jo_packham.jpg,"<p>Jo Packham is all about creative expression. Whether it's food, art or business, the creator/Editor-in-Chief of popular magazine titles such as <em>Where Women Create</em>, <em>Where Women Cook</em>, and <em>Where Women Create Business</em> has been a leading innovator in the handmade publishing market for more than 30 years. In 2013, the Ogden, Utah resident became a licensed designer for Sizzix. Her line of die-cutting and embossing products are inspired from the pages of her <em>Where Women Cook</em> and <em>Where Women Create</em> magazines with designs to add unique flavor to cards, labels, d&eacute;cor, party favors and more.</<p>"
50622c8e02f3990a50000006,jorli-perine,Jorli Perine,artist,"szus,szuk,eeus,erus",,/grid/visual_asset/image/506e0b6f02f3994a41000030/jorli_perine.jpg,"<p>Jorli can't remember a time when she wasn't drawing or painting. By age 5, she was sketching recognizable portraits. Her official training began as the recipient of the Laguna Beach Festival of the Arts scholarship, and continued with her art education at Brigham Young University and Laguna College of Art and Design. Her mother, LaDorna Eichenberg, the founder of Ellison Educational Equipment, involved Jorli in the business from the beginning by having her cut out pink felt bunnies and send them to teachers. Throughout the years, Jorli has filled many company roles. Her artwork launched the first 2000 Ellison Educational dies. She still designs for Ellison, Sizzix and the quilting segment of the business, while pursuing her fine arts career.</<p>"
4fda25f8fb60b50da8000e18,karen-burniston,Karen Burniston,artist,"szus,szuk,erus",,/grid/visual_asset/image/4fda266afb60b50d7900063e/karen_burnston_headshot.jpg,"<p>Karen Burniston is a well-known designer and papercrafter who focuses primarily on designing pop-up and interactive techniques. She has been published in all the major papercraft magazines and has contributed to numerous idea books. She teaches pop-up classes at stores and events throughout the world. Her family consists of John, a fellow engineer, twin children, Karl and Emma, and two high-maintenance Puggles. Learn more about Karen and find links to video tutorials for her Sizzix pop-up dies on her blog: <a href=""http://karenburniston.typepad.com/"">I am not left-handed.</a></<p> "
532ca8f55b76e1153b000fe2,kathleen-bahret-guest-quilter,"Kathleen Bahret, Guest Quilter",artist,"szus,szuk,erus",,/grid/visual_asset/image/532ca8f55b76e1153b000fe3/kathleen_bahret.jpg,"<p>Kathleen's love of needlework began at age 10 when her paternal grandmother taught her embroidery. From there, Kathleen's love of threads grew to include needlepoint, quilting, embroidery and counted cross stitch. Her art background helps her put a little of her own design into most projects. </<p><p>Kathleen was born in St. Louis, Miss., relocated to California in middle school and has lived there ever since. She has two daughters, four grandkids and one beloved dog. Happily married for over 50 years, the Bahrets are now retired. When travel plans are made, the needle and threads are the first things packed!</<p>"
532ca7285b76e12b000012a1,kathy-ranabargar-sizzix,"Kathy Ranabargar, Sizzix",artist,"szus,szuk,erus",,/grid/visual_asset/image/532ca7285b76e12b000012a2/kathy_ranabargar.jpg,"<p>Kathy has always been fascinated by fabrics. She loves to touch them, look at them and imagine what she can do with them. She has been sewing almost all her life; Kathy's mother taught her the basics and, while dating her husband, she learned quilting from her mother-in-law. Her inspirations are her garden and the ocean and her influences include her experiences in fashion and theater costuming.</<p><p>Born and raised in Temple City, Calif., Kathy now lives in Laguna Beach, Calif., with her husband, two teenage boys and two black labs.</<p>"
5333292bfb60b50df80001dd,kerry-goulder,Kerry Goulder,artist,"szus,szuk,erus",,/grid/visual_asset/image/53332dacfb60b55c7a002e32/kerry_goulder.jpg,"<p>Kerry Goulder has been sewing for fun since she can remember. After a sculpture class in college, a wedding and two children, Kerry began designing many unique patterns under her Kid Giddy&reg; label, and wrote her first book, <em>Sewing Tales to Stitch and Love: 18 Toy Patterns for the Storytelling Sewist</em>, with F+W Media. Kerry's company motto is to ""add more giddy to your life."" This is a constant reminder to have fun and to do things that make you happy, which, of course, means more sewing. Kerry lives in Southern Maine with her husband and their two daughters. When she's not sewing, she loves to run and is training for her second degree black belt in Shaolin Kempo Karate.</<p>"
4ea1ab495b76e14ba2001d5a,linda-nitzen-sizzix,"Linda Nitzen, Sizzix",artist,"szus,szuk,erus",,/grid/visual_asset/image/4ff5e8dc5b76e1635c0031f4/linda_nitzen.jpg,"<p>Learning from her mother how to embroider, crochet and sew at age 7, Linda realized her love of blankets and quilts on a family vacation during high school. Not only were two wool blankets the only treasures she brought home from that trip, but she followed that up by making her first quilt. Self-taught, it would be 10 years before she took her first class, and from there it's been non-stop fun growing her skills and learning new techniques. A native Southern Californian, she's been happily married to her husband for 22 years and together they have two terrific teenage boys. ""My boys learned early on,"" jokes Linda, ""that if Mom gets to quilt each day, the house is much happier.""</<p>"""
